Cust_ID;Churn;Name;Longevity;Year_Birth;TypeTravel;RoomType;RewardPoints;Comfort;ReceptionSchedule;FoodDrink;Location;Wifi;Amenities;Staff;OnlineBooking;PriceQuality;RoomSpace;CheckOut;Checkin;Cleanliness;BarService
1;churn;Ms. Nicole Clarke;yes;1974;business;single;4907;3;4;1;4;4;3;4;3;3;3;3;4;3;4
2;nochurn;Mr. Jesse Scott;yes;1965;business;single;6724;1;1;1;1;5;3;4;5;5;5;5;1;5;2
3;churn;Mr. Christopher Carter;yes;1973;business;single;4365;3;3;3;3;1;4;4;3;3;2;3;2;3;1
4;nochurn;Ms. Jennifer Morgan;yes;1993;leisure;double;3849;1;1;1;1;4;4;5;4;4;4;4;4;4;3
5;nochurn;Mr. Michael White;yes;1989;business;single;5376;2;2;3;2;5;5;5;5;5;3;4;1;3;5
6;churn;Ms. Morgan Briggs;yes;1975;business;double;5342;2;2;5;5;3;2;2;2;2;2;2;4;2;1
7;churn;Ms. Kellie Alvarez;no;1990;business;double;4909;2;2;2;3;2;2;2;2;1;1;2;2;3;2
8;churn;Mr. Jorge Brown;yes;1976;business;single;4037;2;3;3;3;2;4;4;2;2;3;2;1;2;2
9;churn;Mr. Jesus Soto;yes;1974;business;single;3694;2;3;3;3;2;2;2;2;2;1;2;2;2;1
10;churn;Mr. Anthony Young;yes;1994;business;single;3475;3;5;5;5;3;3;3;3;4;3;4;1;4;3
11;nochurn;Mr. Patrick Garza;yes;1960;leisure;double;5059;4;3;4;2;1;4;1;1;2;4;3;5;2;1
12;churn;Ms. Jill Bowman;no;1995;business;double;5360;2;2;2;4;4;2;3;4;2;4;4;3;3;4
13;nochurn;Ms. Kelly Newman;no;1977;business;single;5853;5;5;5;4;3;5;3;3;3;5;5;4;4;3
14;nochurn;Mr. Danny Frazier;yes;1981;business;single;5164;2;2;2;2;3;5;5;5;5;5;5;4;5;3
15;nochurn;Mr. Ralph Johnson;yes;1994;leisure;double;5858;5;5;5;5;3;5;3;3;5;2;5;3;4;3
16;nochurn;Mr. Sean Hendricks;yes;1969;business;single;6571;4;4;4;4;4;2;1;3;3;3;3;1;3;5
17;churn;Mr. John Miller;no;1982;business;single;5756;3;3;3;2;5;3;5;5;5;5;5;3;4;5
18;churn;Mr. Devin Benson;yes;1962;leisure;double;5229;2;3;2;2;5;2;5;5;1;2;3;4;3;5
19;churn;Ms. Melissa Hayes MD;no;1995;business;single;5466;2;4;2;2;2;2;2;2;5;2;4;3;5;2
20;nochurn;Ms. Pamela Torres;yes;1982;business;single;4299;1;1;2;1;2;4;4;3;3;3;3;4;3;3
21;churn;Mr. John Schwartz;yes;1980;business;double;5577;3;2;2;2;3;3;3;3;3;2;4;3;3;3
